Handle;Main language;Type;# tweets;Start;Followers;;;;;
GlassHumanist;English;Non-religious;431;2020;136;;;;;
atheismisnormal;English;Non-religious;5;2021;134;;;;;
CUASHSoc;English;Non-religious;103;2019;132;;;;;
pennghhs;English;Non-religious;93;2018;129;;;;;
ShefHumanists;English;Non-religious;167;2020;128;;;;;
Goldhumanists;English;Non-religious;53;2012;127;;;;;
shorva2011;English;Non-religious;403;2018;125;;;;;
AtheistsAtWork;English;Non-religious;285;2015;122;;;;;
atheist_atheism;English;Non-religious;12;2017;122;;;;;
humanist_vce;English;Non-religious;611;2011;122;;;;;
ATXHAW;English;Non-religious;1450;2014;122;;;;;
LVHumanists;English;Non-religious;297;2015;111;;;;;
Tauntonhumanism;English;Non-religious;61;2010;102;;;;;
HumanistPodcast;English;Non-religious;36;2015;101;;;;;
